Word,LFS,PLFS,RLP,HLT,WSA,OS,ODS,ExpectedGuesses
PHASE,0.367,0.493,0.0,0.304,0.208,0.025,0.246,3.361
CACKY,0.721,0.5,1.0,0.802,0.533,1.0,0.756,5.146
LICHI,0.687,0.698,1.0,0.161,0.37,1.0,0.656,4.796
SHYER,0.449,0.485,0.0,0.693,0.33,1.0,0.488,4.208
BIHON,0.683,0.645,0.0,0.761,0.753,1.0,0.645,4.758
FILON,0.643,0.568,0.0,0.201,0.627,1.0,0.52,4.32
EAGLE,0.322,0.549,1.0,0.49,0.285,0.06,0.438,4.033
TWANK,0.673,0.597,0.0,0.632,0.335,1.0,0.553,4.436
TRIOR,0.488,0.548,1.0,0.086,0.099,1.0,0.532,4.362
ELUTE,0.401,0.631,1.0,0.341,0.144,1.0,0.568,4.488
PELOG,0.554,0.511,0.0,0.465,0.669,1.0,0.535,4.373
RELAX,0.465,0.516,0.0,0.461,0.266,0.113,0.32,3.62
DARTS,0.391,0.233,0.0,0.219,0.113,0.437,0.248,3.368
FRAUS,0.468,0.408,0.0,0.52,0.122,1.0,0.424,3.984
DEERE,0.25,0.484,1.0,0.022,0.169,0.473,0.385,3.848
TURBO,0.633,0.549,0.0,0.737,0.133,0.099,0.386,3.851
FAINS,0.46,0.282,0.0,0.271,0.469,1.0,0.418,3.963
MOERS,0.341,0.297,0.0,0.457,0.43,1.0,0.413,3.946
FEEZE,0.442,0.547,1.0,0.961,0.42,1.0,0.7,4.95
CROCI,0.62,0.592,1.0,0.607,0.198,1.0,0.665,4.828
STEAL,0.264,0.507,0.0,0.013,0.262,0.16,0.207,3.224
MODEM,0.572,0.427,1.0,0.387,0.687,0.063,0.528,4.348
GENIO,0.499,0.51,0.0,0.155,0.493,0.699,0.403,3.91
DRILY,0.646,0.526,0.0,0.513,0.185,1.0,0.495,4.232
TODAY,0.54,0.472,0.0,0.402,0.315,0.004,0.314,3.599
REBUY,0.601,0.601,0.0,0.753,0.37,0.857,0.537,4.38
GROWS,0.571,0.468,0.0,0.65,0.398,0.17,0.396,3.886
TANGY,0.627,0.422,0.0,0.348,0.423,0.675,0.437,4.03
QUONK,0.797,0.639,0.0,0.891,0.748,1.0,0.691,4.918
DISME,0.435,0.588,0.0,0.325,0.262,1.0,0.435,4.022
TAATA,0.284,0.371,1.0,0.455,0.342,1.0,0.546,4.411
BWANA,0.555,0.556,1.0,0.978,0.514,0.83,0.72,5.02
SNIPY,0.579,0.493,0.0,0.926,0.614,1.0,0.6,4.6
FUSTS,0.495,0.449,1.0,0.381,0.45,1.0,0.616,4.656
GLUES,0.467,0.35,0.0,0.745,0.616,0.665,0.473,4.156
TIERS,0.325,0.366,0.0,0.06,0.182,0.617,0.265,3.428
HERPS,0.448,0.364,0.0,0.408,0.347,1.0,0.43,4.005
IMMIT,0.67,0.759,1.0,0.55,0.352,1.0,0.717,5.01
BENNY,0.624,0.438,1.0,0.582,0.636,0.418,0.617,4.659
ANOAS,0.235,0.401,1.0,0.254,0.515,1.0,0.534,4.369
DOORS,0.405,0.306,1.0,0.295,0.34,0.049,0.4,3.9
APGAR,0.47,0.677,1.0,0.848,0.353,0.699,0.654,4.789
BOURN,0.64,0.497,0.0,0.434,0.322,0.804,0.469,4.142
EBANK,0.524,0.668,0.0,0.6,0.284,1.0,0.514,4.299
HALLO,0.516,0.503,1.0,0.146,0.63,0.654,0.569,4.492
HULLS,0.586,0.424,1.0,0.741,0.796,0.666,0.691,4.918
FENDY,0.67,0.507,0.0,0.483,0.584,1.0,0.554,4.439
QUEEK,0.588,0.526,1.0,0.883,0.728,1.0,0.768,5.188
HOOPS,0.506,0.357,1.0,0.675,1.0,0.41,0.643,4.751
HAUTE,0.472,0.464,0.0,0.33,0.049,0.514,0.322,3.627
SWARD,0.478,0.483,0.0,0.576,0.119,0.785,0.414,3.949
PEAGE,0.367,0.407,1.0,0.312,0.255,1.0,0.538,4.383
SHEVA,0.422,0.555,0.0,0.421,0.363,0.691,0.41,3.935
KETAS,0.332,0.399,0.0,0.258,0.265,1.0,0.371,3.798
RUMES,0.417,0.318,0.0,0.389,0.301,1.0,0.405,3.918
AGERS,0.295,0.48,0.0,0.184,0.1,0.692,0.292,3.522
MEADS,0.343,0.304,0.0,0.281,0.109,0.693,0.294,3.529
ASPIE,0.287,0.662,0.0,0.518,0.076,1.0,0.41,3.935
MIMEO,0.516,0.459,1.0,0.486,0.615,0.686,0.616,4.656
TUNDS,0.574,0.386,0.0,0.418,0.299,1.0,0.459,4.107
HOISE,0.366,0.459,0.0,0.325,0.261,1.0,0.398,3.893
MEASE,0.185,0.421,1.0,0.061,0.209,0.888,0.433,4.016
PRIDY,0.691,0.504,0.0,0.619,0.297,1.0,0.536,4.376
BORAL,0.489,0.373,0.0,0.118,0.29,0.748,0.352,3.732
STEDD,0.447,0.552,1.0,0.162,0.316,1.0,0.566,4.481
AREAL,0.237,0.545,1.0,0.009,0.082,0.68,0.407,3.924
DOWED,0.604,0.447,1.0,0.405,0.709,1.0,0.685,4.898
MUTES,0.451,0.277,0.0,0.25,0.366,0.694,0.351,3.728
MYLAR,0.565,0.584,0.0,0.746,0.439,0.637,0.502,4.257
SLOSH,0.391,0.514,1.0,0.645,0.691,0.893,0.659,4.806
IDLED,0.543,0.588,1.0,0.506,0.539,0.791,0.649,4.772
SPUGS,0.517,0.433,1.0,0.891,0.753,1.0,0.741,5.094
AZURY,0.657,0.649,0.0,0.971,0.312,1.0,0.604,4.614
PUDDY,0.806,0.58,1.0,0.95,0.865,1.0,0.861,5.514
KAING,0.626,0.5,0.0,0.364,0.535,1.0,0.516,4.306
TWINY,0.744,0.57,0.0,0.526,0.272,1.0,0.541,4.394
KREWE,0.495,0.636,1.0,0.74,0.265,0.749,0.632,4.712
FREON,0.509,0.607,0.0,0.165,0.409,0.692,0.408,3.928
MANGS,0.505,0.284,0.0,0.231,0.745,1.0,0.465,4.128
CRASS,0.287,0.361,1.0,0.335,0.22,0.668,0.459,4.107
ORRIS,0.367,0.402,1.0,0.183,0.245,0.753,0.479,4.176
TOKOS,0.472,0.401,1.0,0.781,0.521,1.0,0.673,4.856
CLEFS,0.511,0.46,0.0,0.778,0.297,0.699,0.463,4.12
OGGIN,0.687,0.777,1.0,0.738,0.745,1.0,0.811,5.338
BHOOT,0.647,0.571,1.0,0.87,0.499,1.0,0.753,5.136
HYNDE,0.644,0.627,0.0,0.781,0.37,0.877,0.559,4.456
VERRA,0.418,0.526,1.0,0.184,0.296,1.0,0.555,4.442
IGLOO,0.564,0.741,1.0,0.732,0.708,0.669,0.718,5.013
QAJAQ,0.751,0.675,1.0,0.999,0.901,1.0,0.874,5.559
BETAS,0.329,0.33,0.0,0.173,0.265,0.678,0.299,3.546
LISES,0.235,0.317,1.0,0.026,0.603,1.0,0.501,4.254
PAPPY,0.685,0.495,1.0,0.855,0.901,0.695,0.763,5.171
FOCAL,0.593,0.545,0.0,0.268,0.324,0.171,0.344,3.704
PICAS,0.462,0.373,0.0,0.322,0.22,1.0,0.403,3.91
SOLES,0.208,0.078,1.0,0.113,0.678,0.63,0.427,3.994
AINGA,0.446,0.534,1.0,0.176,0.579,1.0,0.605,4.618
OUZOS,0.54,0.566,1.0,0.969,0.871,1.0,0.796,5.286
HOACH,0.627,0.5,1.0,0.443,0.241,1.0,0.634,4.719
ADAWN,0.526,0.648,1.0,0.835,0.262,1.0,0.693,4.926
GLUGG,0.838,0.704,1.0,0.969,0.763,1.0,0.875,5.562
BASHA,0.398,0.527,1.0,0.359,0.82,0.764,0.62,4.67
NARKY,0.597,0.431,0.0,0.972,0.461,1.0,0.579,4.526
LINNY,0.663,0.503,1.0,0.425,0.703,1.0,0.71,4.985
SHAYA,0.379,0.504,1.0,0.602,0.467,1.0,0.631,4.708
TRAYF,0.607,0.604,0.0,0.689,0.238,1.0,0.531,4.358
MOPED,0.571,0.404,0.0,0.342,0.709,0.658,0.46,4.11
EASES,0.02,0.271,1.0,0.028,0.381,0.646,0.354,3.739
LAIRD,0.487,0.45,0.0,0.522,0.17,0.616,0.385,3.848
BEADY,0.527,0.427,0.0,0.583,0.135,0.748,0.416,3.956
JURIS,0.59,0.391,0.0,0.399,0.297,0.665,0.41,3.935
AGISM,0.475,0.661,0.0,0.617,0.544,1.0,0.542,4.397
MEANS,0.318,0.277,0.0,0.044,0.259,0.009,0.168,3.088
VOGIE,0.589,0.561,0.0,0.835,0.363,1.0,0.561,4.464
CEDES,0.338,0.277,1.0,0.044,0.272,0.862,0.453,4.085
BUNKO,0.74,0.546,0.0,0.902,0.769,0.698,0.622,4.677
NARIC,0.514,0.457,0.0,0.609,0.168,1.0,0.464,4.124
PEART,0.397,0.425,0.0,0.136,0.199,0.693,0.317,3.609
QUERY,0.658,0.606,0.0,0.559,0.407,0.032,0.405,3.918
LEARE,0.226,0.442,1.0,0.014,0.197,1.0,0.454,4.089
CARBY,0.635,0.394,0.0,0.609,0.37,1.0,0.515,4.302
INDOL,0.593,0.791,0.0,0.112,0.622,1.0,0.527,4.344
DEBYE,0.516,0.627,1.0,0.708,0.345,0.712,0.638,4.733
BYKED,0.707,0.569,0.0,0.907,0.701,1.0,0.653,4.786
LAARF,0.446,0.457,1.0,0.776,0.26,1.0,0.635,4.722
KOFTA,0.612,0.616,0.0,0.671,0.353,1.0,0.549,4.422
KAPAS,0.386,0.382,1.0,0.672,0.82,1.0,0.678,4.873
OLIOS,0.381,0.464,1.0,0.275,0.647,1.0,0.603,4.61
ROUFS,0.532,0.394,0.0,0.854,0.302,1.0,0.516,4.306
LOUIE,0.453,0.472,0.0,0.464,0.278,0.579,0.382,3.837
PLEWS,0.508,0.45,0.0,0.588,0.682,1.0,0.535,4.373
SPAWL,0.519,0.545,0.0,0.931,0.451,1.0,0.569,4.492
DARZI,0.597,0.486,0.0,0.961,0.288,1.0,0.56,4.46
QUOLL,0.719,0.63,1.0,0.865,0.755,1.0,0.817,5.36
CELEB,0.486,0.4,1.0,0.277,0.292,0.22,0.45,4.075
CONVO,0.682,0.503,1.0,0.658,0.399,0.698,0.659,4.806
STORE,0.297,0.475,0.0,0.002,0.142,0.003,0.168,3.088
SKARN,0.432,0.499,0.0,0.833,0.27,1.0,0.498,4.243
VEGES,0.415,0.365,1.0,0.233,0.699,1.0,0.598,4.593
SHADE,0.357,0.431,0.0,0.279,0.052,0.143,0.225,3.288
NABES,0.337,0.288,0.0,0.756,0.353,1.0,0.444,4.054
PIRRE,0.455,0.404,1.0,0.541,0.262,1.0,0.595,4.582
BLUEY,0.633,0.442,0.0,0.846,0.612,0.797,0.563,4.47
BREAK,0.482,0.54,0.0,0.446,0.286,0.02,0.314,3.599
RYPER,0.522,0.586,1.0,0.481,0.415,1.0,0.653,4.786
FAERY,0.481,0.443,0.0,0.747,0.297,0.675,0.445,4.058
HOODS,0.496,0.351,1.0,0.577,0.893,0.446,0.614,4.649
AMIES,0.288,0.309,0.0,0.265,0.163,1.0,0.333,3.665
HEATS,0.324,0.316,0.0,0.027,0.221,0.594,0.255,3.392
UMBRE,0.601,0.758,0.0,0.66,0.209,1.0,0.544,4.404
QUIET,0.626,0.478,0.0,0.662,0.2,0.06,0.367,3.784
GLEED,0.469,0.474,1.0,0.425,0.601,1.0,0.642,4.747
WANKS,0.552,0.34,0.0,0.665,0.745,1.0,0.55,4.425
GURLS,0.559,0.35,0.0,0.78,0.253,0.716,0.455,4.093
NIKAH,0.622,0.653,0.0,0.959,0.628,1.0,0.642,4.747
TAZZE,0.603,0.578,1.0,0.984,0.213,1.0,0.717,5.01
KORUN,0.644,0.504,0.0,0.716,0.329,1.0,0.543,4.4
TOWZE,0.646,0.578,0.0,0.967,0.266,1.0,0.583,4.54
BLAMS,0.496,0.387,0.0,0.609,0.461,1.0,0.493,4.226
FALLS,0.47,0.312,1.0,0.412,0.748,0.03,0.493,4.226
WAIRS,0.423,0.313,0.0,0.517,0.242,1.0,0.417,3.96
WILGA,0.637,0.608,0.0,0.816,0.6,1.0,0.613,4.646
KWELA,0.538,0.681,0.0,0.803,0.406,1.0,0.568,4.488
AAPAS,0.206,0.33,1.0,0.737,0.593,1.0,0.6,4.6
NAVVY,0.76,0.619,1.0,1.0,0.826,1.0,0.857,5.499
SAPOR,0.351,0.439,0.0,0.278,0.209,1.0,0.377,3.82
ROTAN,0.437,0.485,0.0,0.066,0.105,0.809,0.329,3.652
SAKER,0.299,0.318,0.0,0.423,0.246,0.875,0.354,3.739
LEGER,0.403,0.49,1.0,0.179,0.358,0.657,0.503,4.26
XERIC,0.609,0.573,0.0,0.394,0.19,0.814,0.448,4.068
CYANO,0.564,0.568,0.0,0.618,0.205,0.705,0.455,4.093
GARRE,0.382,0.377,1.0,0.287,0.229,1.0,0.529,4.352
TOMES,0.375,0.23,0.0,0.03,0.435,0.687,0.301,3.553
JUDGY,0.906,0.694,0.0,0.98,0.865,1.0,0.757,5.15
NAINS,0.385,0.303,1.0,0.675,0.469,1.0,0.613,4.646
TIMON,0.606,0.597,0.0,0.151,0.269,0.691,0.408,3.928
BEVAN,0.555,0.568,0.0,0.386,0.381,0.669,0.439,4.036
DUALS,0.449,0.341,0.0,0.642,0.273,0.684,0.403,3.91
URGED,0.59,0.596,0.0,0.398,0.271,0.213,0.369,3.792
AZOLE,0.443,0.583,0.0,0.909,0.11,1.0,0.501,4.254
DOXES,0.477,0.31,0.0,0.887,0.689,1.0,0.552,4.432
FLABS,0.535,0.442,0.0,0.833,0.461,1.0,0.544,4.404
FAVAS,0.458,0.378,1.0,0.659,0.82,1.0,0.693,4.926
VIVER,0.641,0.572,1.0,0.195,0.442,1.0,0.642,4.747
LARGA,0.425,0.449,1.0,0.479,0.413,0.698,0.562,4.467
MANUS,0.47,0.284,0.0,0.275,0.579,0.69,0.392,3.872
TOUZE,0.586,0.513,0.0,0.903,0.153,1.0,0.532,4.362
STARS,0.238,0.317,1.0,0.062,0.224,0.017,0.302,3.557
KNOBS,0.592,0.535,0.0,0.911,0.904,0.465,0.57,4.495
YOWIE,0.56,0.588,0.0,0.49,0.363,1.0,0.506,4.271
JIBES,0.534,0.398,0.0,0.855,0.669,1.0,0.572,4.502
AVION,0.546,0.627,0.0,0.233,0.557,0.649,0.446,4.061
FROZE,0.609,0.593,0.0,0.952,0.305,0.648,0.527,4.344
TENES,0.264,0.193,1.0,0.007,0.308,1.0,0.442,4.047
NEXUS,0.529,0.545,0.0,0.851,0.563,0.367,0.481,4.184
OBOLE,0.462,0.639,1.0,0.542,0.445,1.0,0.659,4.806
COOMY,0.664,0.436,1.0,0.546,0.534,1.0,0.693,4.926
LOOKS,0.469,0.338,1.0,0.78,0.89,0.023,0.572,4.502
WALTZ,0.705,0.522,0.0,0.885,0.481,0.529,0.539,4.386
SMOKE,0.44,0.497,0.0,0.813,0.364,0.06,0.37,3.795
DREGS,0.442,0.452,0.0,0.669,0.225,0.692,0.416,3.956
LEDGE,0.469,0.6,1.0,0.473,0.257,0.589,0.555,4.442
KAYLE,0.495,0.564,0.0,0.848,0.285,1.0,0.528,4.348
COUPS,0.575,0.357,0.0,0.565,0.425,0.686,0.449,4.072
CHART,0.586,0.538,0.0,0.136,0.23,0.029,0.286,3.501
LYTES,0.423,0.396,0.0,0.303,0.398,1.0,0.42,3.97
MADAM,0.518,0.503,1.0,0.366,0.719,0.494,0.592,4.572
KALAS,0.341,0.303,1.0,0.424,0.748,1.0,0.606,4.621
BENTY,0.617,0.426,0.0,0.166,0.299,1.0,0.438,4.033
RAFTS,0.442,0.393,0.0,0.589,0.257,0.663,0.396,3.886
VINCA,0.645,0.607,0.0,0.144,0.29,0.696,0.422,3.977
WILES,0.443,0.287,0.0,0.125,0.601,0.674,0.364,3.774
BILBO,0.678,0.573,1.0,0.821,0.708,0.684,0.737,5.079
CHARK,0.652,0.56,0.0,0.312,0.3,1.0,0.489,4.212
CEDER,0.425,0.443,1.0,0.033,0.197,1.0,0.507,4.274
TENTS,0.389,0.311,1.0,0.029,0.289,0.26,0.381,3.834
VIRGO,0.681,0.588,0.0,0.742,0.327,0.578,0.505,4.268
BISKS,0.491,0.426,1.0,0.823,0.885,1.0,0.743,5.1
MINES,0.41,0.204,0.0,0.033,0.591,0.18,0.254,3.389
BUHLS,0.651,0.488,0.0,0.983,0.802,1.0,0.654,4.789
MAVIS,0.511,0.363,0.0,0.326,0.562,0.661,0.415,3.952
YOLKY,0.729,0.538,1.0,0.959,0.87,1.0,0.837,5.43
KEAKI,0.496,0.547,1.0,0.7,0.092,1.0,0.625,4.688
SIRIH,0.486,0.381,1.0,0.745,0.196,1.0,0.62,4.67
FIEFS,0.524,0.438,1.0,0.798,0.674,1.0,0.718,5.013
DIKES,0.457,0.345,0.0,0.554,0.584,0.669,0.437,4.03
DUNCE,0.618,0.531,0.0,0.487,0.184,0.699,0.44,4.04
MEVES,0.397,0.307,1.0,0.131,0.699,1.0,0.57,4.495
KETES,0.321,0.303,1.0,0.092,0.404,1.0,0.5,4.25
HEFTY,0.687,0.615,0.0,0.434,0.376,0.615,0.478,4.173
ZOOEY,0.553,0.373,1.0,0.962,0.816,0.7,0.716,5.006
CRITS,0.5,0.355,0.0,0.29,0.126,0.786,0.359,3.756
WIVED,0.697,0.548,0.0,0.3,0.629,1.0,0.546,4.411
BOGLE,0.574,0.489,0.0,0.744,0.445,0.686,0.498,4.243
CAWKS,0.594,0.394,0.0,0.981,0.451,1.0,0.572,4.502
CHAVS,0.597,0.425,0.0,0.842,0.346,0.688,0.494,4.229
DUOMI,0.657,0.595,0.0,0.863,0.829,1.0,0.657,4.8
TEWEL,0.461,0.486,1.0,0.254,0.361,1.0,0.58,4.53
MESYL,0.466,0.623,0.0,0.657,0.635,1.0,0.554,4.439
BALMY,0.661,0.432,0.0,0.831,0.811,0.688,0.58,4.53
HYLEG,0.663,0.564,0.0,0.888,0.686,1.0,0.636,4.726
ACARI,0.392,0.599,1.0,0.113,0.072,0.779,0.482,4.187
FEATS,0.35,0.302,0.0,0.195,0.221,0.638,0.291,3.518
MEAKE,0.371,0.422,1.0,0.465,0.255,1.0,0.564,4.474
IGNIS,0.532,0.526,1.0,0.588,0.704,0.694,0.66,4.81
GONGS,0.588,0.336,1.0,0.414,0.904,0.698,0.65,4.775
KARTS,0.424,0.269,0.0,0.488,0.27,0.651,0.358,3.753
DENTS,0.422,0.328,0.0,0.057,0.233,0.597,0.288,3.508
HAFFS,0.616,0.486,1.0,0.883,0.82,1.0,0.782,5.237
SAKES,0.211,0.152,1.0,0.456,0.351,0.687,0.45,4.075
HORNY,0.653,0.419,0.0,0.478,0.437,0.081,0.376,3.816
ADRAD,0.43,0.546,1.0,0.506,0.315,1.0,0.613,4.646
REBUD,0.59,0.631,0.0,0.6,0.345,1.0,0.534,4.369
YAYAS,0.366,0.435,1.0,0.73,0.82,1.0,0.689,4.912
SHIER,0.383,0.35,0.0,0.172,0.304,1.0,0.37,3.795
UNMEW,0.666,0.657,0.0,0.59,0.635,1.0,0.599,4.596
PLASM,0.476,0.55,0.0,0.513,0.363,0.878,0.465,4.128
LOAST,0.34,0.462,0.0,0.302,0.085,1.0,0.362,3.767
PUCKA,0.697,0.608,0.0,0.898,0.383,0.894,0.592,4.572
PIVOT,0.695,0.603,0.0,0.792,0.352,0.528,0.515,4.302
WORKS,0.575,0.326,0.0,0.689,0.451,0.01,0.365,3.778
SKEES,0.2,0.246,1.0,0.546,0.661,1.0,0.568,4.488
PALER,0.394,0.289,0.0,0.042,0.283,0.694,0.295,3.532
KNISH,0.615,0.683,0.0,0.64,0.736,1.0,0.613,4.646
NIGGA,0.622,0.683,1.0,0.824,0.628,0.584,0.713,4.996
MADAR,0.441,0.48,1.0,0.219,0.317,1.0,0.563,4.47
WAKFS,0.627,0.48,0.0,0.978,0.82,1.0,0.648,4.768
RUCHE,0.602,0.632,0.0,0.427,0.149,1.0,0.482,4.187
TODDE,0.517,0.522,1.0,0.441,0.137,1.0,0.594,4.579
SAURY,0.429,0.356,0.0,0.537,0.186,1.0,0.419,3.966
ROUGH,0.69,0.557,0.0,0.524,0.326,0.087,0.397,3.89
KNOPS,0.573,0.521,0.0,0.861,0.904,1.0,0.636,4.726
AKING,0.626,0.639,0.0,0.394,0.536,0.699,0.497,4.24
YILLS,0.524,0.446,1.0,0.662,0.769,1.0,0.713,4.996
CYMAE,0.524,0.593,0.0,0.958,0.251,1.0,0.551,4.428
BRENT,0.539,0.552,0.0,0.097,0.15,0.214,0.287,3.504
UMPTY,0.784,0.744,0.0,0.805,0.417,1.0,0.641,4.744
MELLS,0.42,0.337,1.0,0.277,0.631,1.0,0.592,4.572
MARUA,0.435,0.409,1.0,0.506,0.334,1.0,0.596,4.586
IMPRO,0.608,0.813,0.0,0.431,0.321,0.777,0.503,4.26
HOWDY,0.798,0.598,0.0,0.943,0.889,0.634,0.659,4.806
WOOPY,0.7,0.499,1.0,0.85,0.996,1.0,0.827,5.394
ASWIM,0.5,0.75,0.0,0.592,0.55,1.0,0.559,4.456
BRANK,0.615,0.519,0.0,0.501,0.327,1.0,0.506,4.271
PINKO,0.671,0.514,0.0,0.797,0.738,0.688,0.578,4.523
GINNY,0.727,0.495,1.0,0.616,0.815,0.606,0.712,4.992
VOWEL,0.634,0.517,0.0,0.684,0.733,0.602,0.539,4.386
REEMS,0.266,0.386,1.0,0.314,0.354,0.818,0.497,4.24
EIDER,0.353,0.539,1.0,0.211,0.342,0.697,0.507,4.274
HYPED,0.679,0.612,0.0,0.788,0.701,0.642,0.581,4.534
JEERS,0.335,0.425,1.0,0.403,0.361,0.693,0.516,4.306
SINCE,0.416,0.402,0.0,0.084,0.116,0.005,0.195,3.182
KACHA,0.571,0.617,1.0,0.538,0.539,1.0,0.697,4.94
WHIOS,0.578,0.467,0.0,0.408,0.769,1.0,0.541,4.394
NARIS,0.344,0.264,0.0,0.58,0.197,1.0,0.392,3.872
AURUM,0.576,0.547,1.0,0.752,0.312,0.696,0.64,4.74
AWAKE,0.425,0.557,1.0,0.867,0.081,0.31,0.528,4.348
FULLY,0.776,0.54,1.0,0.67,0.782,0.021,0.646,4.761
RATHE,0.412,0.495,0.0,0.002,0.18,1.0,0.355,3.742
SCOPS,0.427,0.386,1.0,0.624,0.406,1.0,0.619,4.666
ARVEE,0.326,0.499,1.0,0.348,0.052,1.0,0.516,4.306
WRONG,0.7,0.632,0.0,0.359,0.419,0.02,0.389,3.862
ROMPY,0.674,0.533,0.0,0.68,0.439,1.0,0.566,4.481
SWINE,0.453,0.466,0.0,0.269,0.291,0.544,0.349,3.722
RAMES,0.276,0.22,0.0,0.084,0.253,0.839,0.278,3.473
GIMEL,0.583,0.489,0.0,0.414,0.631,1.0,0.526,4.341
MANGE,0.501,0.404,0.0,0.068,0.291,0.684,0.342,3.697
WIFTY,0.819,0.647,0.0,0.694,0.458,1.0,0.625,4.688
LEVIN,0.583,0.635,0.0,0.159,0.417,0.454,0.395,3.883
CHAFE,0.577,0.538,0.0,0.584,0.226,0.698,0.451,4.078
WENNY,0.648,0.506,1.0,0.631,0.636,1.0,0.728,5.048
QUEYS,0.571,0.531,0.0,0.868,0.713,1.0,0.61,4.635
TOKAY,0.573,0.492,0.0,0.758,0.356,0.865,0.514,4.299
TARDO,0.462,0.43,0.0,0.312,0.106,1.0,0.393,3.876
POLAR,0.47,0.405,0.0,0.233,0.293,0.13,0.277,3.47
PENDS,0.465,0.319,0.0,0.191,0.551,0.899,0.41,3.935
ASHES,0.203,0.466,1.0,0.045,0.198,0.332,0.357,3.75
MOPES,0.417,0.244,0.0,0.272,0.796,1.0,0.451,4.078
VISNE,0.464,0.607,0.0,0.447,0.312,1.0,0.471,4.148
LASED,0.297,0.395,0.0,0.086,0.202,1.0,0.327,3.644
EROSE,0.172,0.596,1.0,0.07,0.221,1.0,0.476,4.166
COLTS,0.503,0.28,0.0,0.396,0.3,0.478,0.344,3.704
RAPER,0.363,0.409,1.0,0.177,0.3,0.698,0.478,4.173
DIRAM,0.533,0.481,0.0,0.34,0.303,1.0,0.452,4.082
GYRUS,0.605,0.46,0.0,0.927,0.347,0.685,0.514,4.299
JAKIE,0.544,0.562,0.0,0.872,0.111,1.0,0.518,4.313
VUTTY,0.796,0.604,1.0,0.943,0.433,1.0,0.796,5.286
CAPES,0.359,0.222,0.0,0.236,0.255,0.663,0.296,3.536
NUMEN,0.588,0.529,1.0,0.444,0.651,1.0,0.691,4.918
EXTRA,0.468,0.744,0.0,0.665,0.235,0.017,0.366,3.781
JOWED,0.684,0.508,0.0,0.604,0.709,1.0,0.594,4.579
COSED,0.413,0.374,0.0,0.122,0.305,1.0,0.373,3.806
AGARS,0.306,0.425,1.0,0.348,0.115,1.0,0.51,4.285
PIQUE,0.668,0.624,0.0,0.966,0.357,0.641,0.555,4.442
TALAR,0.363,0.414,1.0,0.068,0.271,1.0,0.504,4.264
BEDAD,0.516,0.529,1.0,0.294,0.226,1.0,0.586,4.551
MANDI,0.575,0.462,0.0,0.045,0.556,0.672,0.404,3.914
UNKUT,0.754,0.822,1.0,0.927,0.3,1.0,0.796,5.286
DULLS,0.561,0.399,1.0,0.629,0.759,1.0,0.708,4.978
SLOOT,0.404,0.478,1.0,0.605,0.474,0.871,0.615,4.652
BAWLS,0.539,0.367,0.0,0.957,0.75,0.87,0.576,4.516
SOWNE,0.425,0.425,0.0,0.555,0.328,1.0,0.452,4.082
PLENO,0.5,0.568,0.0,0.175,0.499,1.0,0.461,4.114
REBIT,0.509,0.59,0.0,0.314,0.114,1.0,0.43,4.005
STREP,0.39,0.376,0.0,0.098,0.181,0.647,0.293,3.526
BESOT,0.393,0.55,0.0,0.149,0.43,1.0,0.418,3.963
BOONS,0.476,0.268,1.0,0.299,0.881,0.894,0.62,4.67
SEWED,0.375,0.377,1.0,0.244,0.529,0.692,0.52,4.32
LATAH,0.454,0.494,1.0,0.432,0.492,0.715,0.583,4.54
REPRO,0.427,0.617,1.0,0.134,0.317,0.628,0.511,4.288
BOOHS,0.526,0.315,1.0,0.93,1.0,1.0,0.768,5.188
FLAPS,0.515,0.428,0.0,0.826,0.461,0.588,0.474,4.159
GIRRS,0.479,0.338,1.0,0.675,0.379,1.0,0.629,4.702
VESTA,0.364,0.615,0.0,0.028,0.259,0.669,0.327,3.644
HYENS,0.491,0.499,0.0,0.694,0.66,1.0,0.551,4.428
ANYON,0.522,0.737,1.0,0.216,0.613,1.0,0.665,4.828
BODGE,0.609,0.513,0.0,0.794,0.389,1.0,0.557,4.45
MODOM,0.647,0.562,1.0,0.495,0.867,1.0,0.75,5.125
YURTS,0.544,0.394,0.0,0.744,0.161,1.0,0.481,4.184
EXILE,0.465,0.636,1.0,0.712,0.37,0.357,0.578,4.523
ADRET,0.387,0.454,0.0,0.295,0.027,1.0,0.363,3.77
NOYED,0.536,0.488,0.0,0.71,0.632,1.0,0.558,4.453
DYADS,0.502,0.446,1.0,0.86,0.336,0.814,0.644,4.754
LONGE,0.519,0.463,0.0,0.099,0.413,0.749,0.388,3.858
TRIDE,0.479,0.524,0.0,0.262,0.041,1.0,0.394,3.879
TRADS,0.391,0.375,0.0,0.394,0.057,1.0,0.372,3.802
GOFFS,0.684,0.488,1.0,0.838,1.0,1.0,0.82,5.37
WHEYS,0.569,0.548,0.0,0.582,0.761,1.0,0.576,4.516
SHOJO,0.577,0.566,1.0,0.895,0.734,0.772,0.739,5.086
AYAYA,0.372,0.623,1.0,0.817,0.307,1.0,0.655,4.792
RISKS,0.395,0.451,1.0,0.656,0.372,0.052,0.478,4.173
REPOT,0.461,0.602,0.0,0.209,0.254,0.822,0.398,3.893
DWAUM,0.702,0.649,0.0,0.875,0.35,1.0,0.607,4.624
AKARA,0.316,0.583,1.0,0.649,0.161,1.0,0.588,4.558
