Word,LFS,PLFS,RLP,HLT,MatchReduction,AvgElimination,FeedbackGreen,FeedbackYellow,FeedbackGray
BULLS,0.591,0.367,1.0,0.614,186.581,12894.467,0.04,0.12,0.84
TRUCE,0.544,0.592,0.0,0.61,1535.101,13990.933,0.187,0.213,0.6
KATAL,0.462,0.512,1.0,0.311,87.163,13536.0,0.04,0.24,0.72
THUGS,0.653,0.501,0.0,0.791,172.112,14307.0,0.027,0.253,0.72
ARLES,0.231,0.278,0.0,0.163,623.865,13513.8,0.093,0.373,0.533
DROWN,0.671,0.634,0.0,0.731,296.946,13814.067,0.053,0.16,0.787
SKAGS,0.399,0.353,1.0,0.94,39.128,13540.8,0.107,0.133,0.76
BABEL,0.51,0.399,1.0,0.491,68.082,13255.333,0.067,0.24,0.693
REVET,0.441,0.489,1.0,0.138,126.539,13728.867,0.107,0.213,0.68
NOVEL,0.555,0.498,0.0,0.344,32.073,13755.667,0.053,0.2,0.747
ALAYS,0.319,0.428,1.0,0.398,68.367,13679.333,0.12,0.147,0.733
CODAS,0.424,0.331,0.0,0.306,99.546,13570.6,0.067,0.267,0.667
RACHE,0.461,0.534,0.0,0.083,935.355,14061.933,0.173,0.267,0.56
PUNJI,0.795,0.579,0.0,0.984,63.923,13989.6,0.027,0.16,0.813
DOUKS,0.581,0.377,0.0,0.852,44.942,13225.267,0.053,0.12,0.827
POTSY,0.543,0.46,0.0,0.59,97.805,14250.0,0.08,0.187,0.733
DIOLS,0.464,0.362,0.0,0.369,96.942,13745.467,0.027,0.24,0.733
AMNIC,0.591,0.628,0.0,0.755,96.994,14196.867,0.04,0.293,0.667
EVICT,0.627,0.713,0.0,0.377,395.411,14047.0,0.133,0.227,0.64
BAUDS,0.514,0.326,0.0,0.833,162.649,13262.867,0.067,0.213,0.72
HOSTA,0.4,0.544,0.0,0.171,61.507,14340.533,0.053,0.347,0.6
DOWIE,0.549,0.524,0.0,0.509,166.479,13810.267,0.147,0.12,0.733
WIZEN,0.682,0.576,0.0,0.791,23.832,13798.467,0.027,0.227,0.747
MICKS,0.643,0.454,0.0,0.639,26.536,13956.8,0.013,0.213,0.773
SHOWY,0.645,0.511,0.0,0.818,28.386,13857.667,0.04,0.133,0.827
ZOEAE,0.319,0.476,1.0,0.973,47.902,13536.467,0.12,0.173,0.707
TOXIN,0.676,0.582,0.0,0.745,309.365,14221.467,0.053,0.227,0.72
NODED,0.525,0.456,1.0,0.25,57.204,13640.267,0.067,0.173,0.76
BLEAT,0.448,0.536,0.0,0.126,384.085,13909.867,0.093,0.32,0.587
KIAAT,0.442,0.488,1.0,0.756,130.41,14019.267,0.133,0.187,0.68
TOYED,0.529,0.438,0.0,0.615,45.693,14104.133,0.053,0.253,0.693
AZURN,0.621,0.691,0.0,0.976,75.452,13994.2,0.053,0.253,0.693
PUPAE,0.499,0.516,1.0,0.923,54.742,13922.2,0.12,0.187,0.693
GREES,0.284,0.297,1.0,0.122,58.917,13692.6,0.053,0.267,0.68
OOPAK,0.521,0.597,1.0,0.677,21.93,13366.067,0.027,0.173,0.8
YAHOO,0.514,0.665,1.0,0.834,32.142,13971.267,0.053,0.173,0.773
WISTS,0.45,0.457,1.0,0.141,36.266,13763.933,0.04,0.227,0.733
OVOLI,0.6,0.705,1.0,0.698,30.6,13622.2,0.0,0.16,0.84
PINES,0.409,0.182,0.0,0.073,61.375,14001.533,0.04,0.32,0.64
FOAMS,0.468,0.307,0.0,0.683,33.14,14076.667,0.107,0.173,0.72
NEVES,0.361,0.365,1.0,0.137,20.493,13592.067,0.04,0.213,0.747
PURIS,0.52,0.282,0.0,0.319,67.15,14276.0,0.053,0.253,0.693
SERVE,0.32,0.37,1.0,0.177,255.179,13280.733,0.16,0.133,0.707
LOVIE,0.525,0.542,0.0,0.507,59.699,14026.867,0.133,0.147,0.72
YSAME,0.354,0.652,0.0,0.403,248.811,13570.867,0.16,0.2,0.64
WOMAS,0.472,0.379,0.0,0.304,18.36,13471.8,0.04,0.227,0.733
RELOS,0.295,0.359,0.0,0.165,73.094,13642.333,0.053,0.32,0.627
SEPIA,0.287,0.476,0.0,0.497,576.618,14272.867,0.067,0.373,0.56
TRADE,0.387,0.494,0.0,0.235,828.824,14007.6,0.213,0.267,0.52
BUTES,0.47,0.271,0.0,0.179,60.859,13715.2,0.04,0.307,0.653
MICRA,0.55,0.594,0.0,0.398,122.317,14136.333,0.027,0.347,0.627
WEISE,0.32,0.512,1.0,0.272,287.932,14024.6,0.2,0.08,0.72
RECUT,0.544,0.623,0.0,0.282,835.813,14037.267,0.093,0.307,0.6
RISER,0.291,0.462,1.0,0.018,98.066,13738.267,0.053,0.32,0.627
MBARI,0.563,0.596,0.0,0.418,78.986,14347.067,0.08,0.253,0.667
DOWER,0.538,0.453,0.0,0.304,28.752,13411.6,0.053,0.227,0.72
SAKAI,0.321,0.43,1.0,0.812,50.507,13585.333,0.08,0.213,0.707
OCTAS,0.391,0.531,0.0,0.314,131.759,13935.6,0.0,0.413,0.587
DANNY,0.605,0.409,1.0,0.559,83.731,13617.867,0.093,0.133,0.773
DIVOT,0.685,0.65,0.0,0.666,207.406,13922.267,0.08,0.173,0.747
COOLY,0.618,0.402,1.0,0.418,30.661,13787.267,0.053,0.093,0.853
SCAPI,0.462,0.53,0.0,0.617,111.393,14351.933,0.12,0.253,0.627
SALSA,0.154,0.371,1.0,0.295,174.101,13065.867,0.133,0.12,0.747
EXULS,0.519,0.577,0.0,0.946,57.016,13041.733,0.013,0.253,0.733
SCUDI,0.592,0.614,0.0,0.726,370.133,14098.733,0.053,0.213,0.733
LEGES,0.315,0.324,1.0,0.205,36.794,13578.467,0.04,0.227,0.733
VISIT,0.56,0.638,1.0,0.127,85.375,13895.6,0.08,0.187,0.733
FARLE,0.435,0.377,0.0,0.454,162.094,13689.133,0.16,0.24,0.6
CREST,0.397,0.579,0.0,0.052,975.079,14058.267,0.16,0.293,0.547
FACED,0.552,0.414,0.0,0.303,147.987,13814.933,0.067,0.28,0.653
BUKES,0.536,0.33,0.0,0.77,34.03,12969.733,0.04,0.2,0.76
MOUTH,0.705,0.494,0.0,0.124,95.94,14349.0,0.093,0.133,0.773
BASSE,0.208,0.464,1.0,0.263,241.502,13375.267,0.187,0.16,0.653
BASTS,0.334,0.308,1.0,0.228,49.438,13609.133,0.08,0.253,0.667
ALKIN,0.562,0.679,0.0,0.584,76.233,14136.0,0.067,0.24,0.693
MAUSY,0.506,0.459,0.0,0.685,83.259,13462.333,0.093,0.173,0.733
FORKS,0.571,0.3,0.0,0.559,28.532,13684.0,0.053,0.173,0.773
DOSHA,0.432,0.579,0.0,0.438,49.46,14078.6,0.053,0.267,0.68
REELY,0.385,0.482,1.0,0.195,36.943,13528.267,0.04,0.227,0.733
JUNKS,0.72,0.463,0.0,0.904,15.911,13489.267,0.013,0.147,0.84
CUBED,0.673,0.485,0.0,0.599,61.677,13549.133,0.053,0.187,0.76
PLOTS,0.497,0.363,0.0,0.375,254.608,14138.8,0.067,0.227,0.707
DRENT,0.509,0.584,0.0,0.093,327.151,14378.467,0.147,0.253,0.6
CURFS,0.631,0.364,0.0,0.901,96.494,13713.8,0.053,0.213,0.733
GOBAN,0.595,0.549,0.0,0.558,43.995,13997.533,0.027,0.24,0.733
SNIDE,0.399,0.477,0.0,0.605,326.967,14231.133,0.187,0.173,0.64
TAROS,0.308,0.232,0.0,0.149,162.288,13981.867,0.067,0.387,0.547
FUNTS,0.624,0.375,0.0,0.44,56.121,14304.533,0.053,0.227,0.72
NIFFY,0.823,0.704,1.0,0.891,63.736,13788.667,0.027,0.133,0.84
VAIRS,0.434,0.331,0.0,0.589,242.504,13884.667,0.107,0.28,0.613
NOGGY,0.753,0.593,1.0,0.942,57.279,13754.0,0.053,0.08,0.867
TOGES,0.393,0.252,0.0,0.195,135.543,13847.6,0.067,0.307,0.627
LEVER,0.438,0.512,1.0,0.109,28.833,13212.4,0.027,0.227,0.747
EGERS,0.284,0.544,1.0,0.245,45.992,13609.0,0.013,0.307,0.68
ROKOS,0.438,0.411,1.0,0.814,46.814,13366.2,0.053,0.16,0.787
INRUN,0.614,0.685,1.0,0.653,61.182,14262.733,0.013,0.24,0.747
PLATY,0.598,0.454,0.0,0.313,307.85,14135.133,0.133,0.187,0.68
ANTRE,0.362,0.616,0.0,0.013,1263.284,14310.4,0.133,0.373,0.493
SABAL,0.338,0.415,1.0,0.39,309.111,12981.6,0.08,0.187,0.733
COCCO,0.674,0.576,1.0,0.486,44.408,13363.333,0.093,0.0,0.907
POUCE,0.57,0.458,0.0,0.363,120.644,14113.467,0.173,0.093,0.733
FUGIS,0.655,0.475,0.0,0.761,235.265,13645.6,0.053,0.173,0.773
RANES,0.241,0.142,0.0,0.013,174.666,13841.6,0.08,0.4,0.52
OBANG,0.595,0.672,0.0,0.326,128.237,14314.867,0.12,0.147,0.733
THRIP,0.672,0.562,0.0,0.466,174.068,14582.667,0.04,0.307,0.653
THOFT,0.718,0.63,1.0,0.153,246.436,14248.867,0.067,0.133,0.8
BASTE,0.329,0.428,0.0,0.114,555.063,13857.467,0.173,0.28,0.547
STATS,0.271,0.299,1.0,0.054,192.091,13555.733,0.147,0.173,0.68
MOMES,0.418,0.221,1.0,0.107,16.424,13374.533,0.053,0.2,0.747
OCOTE,0.451,0.618,1.0,0.19,532.376,13879.933,0.12,0.2,0.68
GLOOP,0.629,0.625,1.0,0.715,41.917,13907.533,0.027,0.107,0.867
ADMIN,0.575,0.692,0.0,0.472,154.136,13955.133,0.053,0.253,0.693
OOZLE,0.507,0.605,1.0,0.987,28.731,13468.467,0.12,0.08,0.8
SLIPS,0.404,0.335,1.0,0.828,90.605,14067.2,0.133,0.093,0.773
BOORD,0.589,0.433,1.0,0.437,39.378,13656.667,0.053,0.12,0.827
HILUS,0.566,0.436,0.0,0.456,163.155,14010.0,0.027,0.24,0.733
SMARM,0.446,0.51,1.0,0.463,98.4,13457.267,0.12,0.2,0.68
ALOHA,0.404,0.613,1.0,0.494,302.662,14139.933,0.067,0.187,0.747
NATAK,0.472,0.518,1.0,0.812,41.057,14029.8,0.053,0.24,0.707
KNUBS,0.669,0.588,0.0,0.964,91.051,13537.533,0.013,0.16,0.827
AVERT,0.452,0.646,0.0,0.182,398.407,13875.333,0.093,0.36,0.547
DOWAK,0.648,0.569,0.0,0.716,35.385,13106.4,0.04,0.16,0.8
BRUCK,0.798,0.644,0.0,0.841,303.989,13398.267,0.093,0.093,0.813
BISON,0.504,0.577,0.0,0.214,54.777,14008.8,0.027,0.24,0.733
ONKUS,0.556,0.642,0.0,0.824,24.096,13576.667,0.0,0.2,0.8
LIBOR,0.581,0.65,0.0,0.428,65.317,14161.0,0.013,0.253,0.733
GIVES,0.518,0.358,0.0,0.307,37.477,13577.667,0.027,0.28,0.693
HARDY,0.614,0.425,0.0,0.562,39.589,14156.267,0.053,0.253,0.693
GREET,0.405,0.46,1.0,0.215,205.329,14033.133,0.107,0.24,0.653
CRAFT,0.612,0.551,0.0,0.721,1757.58,13754.533,0.187,0.213,0.6
NARRA,0.339,0.442,1.0,0.795,48.166,13715.667,0.08,0.2,0.72
TETRI,0.446,0.567,1.0,0.097,151.634,13912.6,0.04,0.36,0.6
AMPLE,0.472,0.669,0.0,0.446,86.946,13976.533,0.12,0.213,0.667
AWAVE,0.457,0.588,1.0,0.717,98.495,13291.8,0.187,0.067,0.747
THANE,0.453,0.499,0.0,0.008,516.96,14568.4,0.213,0.24,0.547
HALES,0.322,0.195,0.0,0.028,144.729,13902.333,0.067,0.347,0.587
ACARA,0.299,0.576,1.0,0.117,254.451,13264.733,0.107,0.173,0.72
BRAKS,0.487,0.358,0.0,0.811,75.935,13332.6,0.12,0.2,0.68
MOWRA,0.559,0.557,0.0,0.709,29.761,13664.333,0.04,0.24,0.72
LASSY,0.313,0.519,1.0,0.486,102.123,13318.267,0.08,0.187,0.733
KERMA,0.463,0.537,0.0,0.284,82.736,13386.933,0.027,0.333,0.64
SHLEP,0.479,0.406,0.0,0.738,154.977,13902.0,0.067,0.24,0.693
WORDS,0.542,0.327,0.0,0.498,32.14,13497.6,0.04,0.2,0.76
RATHS,0.416,0.375,0.0,0.244,201.686,14183.8,0.08,0.373,0.547
PAANS,0.328,0.194,1.0,0.531,74.348,13813.0,0.16,0.133,0.707
AFTOS,0.425,0.521,0.0,0.591,83.351,13967.533,0.027,0.347,0.627
ALONG,0.53,0.598,0.0,0.043,146.208,14221.133,0.107,0.187,0.707
FRESH,0.488,0.635,0.0,0.128,313.329,14071.133,0.12,0.227,0.653
NEGRO,0.488,0.656,0.0,0.435,97.866,14275.4,0.067,0.267,0.667
NUKED,0.635,0.554,0.0,0.849,33.245,13790.4,0.04,0.187,0.773
GATED,0.482,0.37,0.0,0.083,124.069,14045.467,0.053,0.36,0.587
MANIS,0.421,0.24,0.0,0.073,43.043,14038.467,0.053,0.307,0.64
EXONS,0.452,0.524,0.0,0.778,47.84,13511.267,0.04,0.253,0.707
POEPS,0.416,0.302,1.0,0.854,24.548,13442.8,0.053,0.213,0.733
JOUAL,0.6,0.554,0.0,0.568,83.528,13346.733,0.04,0.2,0.76
MILKO,0.662,0.557,0.0,0.926,47.631,13983.067,0.04,0.133,0.827
AZIDE,0.505,0.599,0.0,0.921,248.015,13993.4,0.173,0.187,0.64
POAKE,0.446,0.359,0.0,0.789,95.887,13966.6,0.2,0.12,0.68
MISES,0.281,0.277,1.0,0.073,22.668,13748.333,0.027,0.267,0.707
CULET,0.575,0.403,0.0,0.423,288.493,13993.667,0.12,0.227,0.653
PIZED,0.663,0.481,0.0,0.872,33.14,13882.533,0.04,0.213,0.747
DYKON,0.728,0.748,0.0,0.974,236.967,13499.0,0.027,0.107,0.867
CRUNK,0.743,0.614,0.0,0.831,247.706,14082.133,0.12,0.107,0.773
WHOSE,0.475,0.614,0.0,0.377,93.743,14256.133,0.133,0.147,0.72
BOGUS,0.607,0.399,0.0,0.757,43.9,13571.0,0.053,0.133,0.813
MOVED,0.626,0.425,0.0,0.337,19.597,13436.6,0.04,0.16,0.8
GYPPY,0.863,0.726,1.0,0.977,344.505,13632.733,0.027,0.04,0.933
OSCAR,0.357,0.743,0.0,0.297,110.37,13633.2,0.0,0.4,0.6
LISPS,0.404,0.48,1.0,0.492,36.433,13927.067,0.027,0.2,0.773
DANDA,0.472,0.465,1.0,0.111,44.565,13460.667,0.053,0.16,0.787
MISCH,0.635,0.622,0.0,0.335,121.47,14305.333,0.067,0.2,0.733
NGWEE,0.533,0.612,1.0,0.73,41.017,14086.933,0.12,0.08,0.8
RYOTI,0.565,0.621,0.0,0.295,174.527,14454.933,0.067,0.267,0.667
SWAYL,0.52,0.552,0.0,0.873,81.579,13451.8,0.107,0.16,0.733
SNOKE,0.404,0.484,0.0,0.818,78.216,13818.8,0.133,0.16,0.707
AWORK,0.582,0.642,0.0,0.731,50.004,13456.2,0.04,0.227,0.733
SOPRA,0.351,0.453,0.0,0.292,140.801,13894.0,0.08,0.293,0.627
ALLEY,0.427,0.426,1.0,0.267,146.862,13701.6,0.08,0.227,0.693
KIDEO,0.528,0.538,0.0,0.592,383.981,13611.267,0.053,0.213,0.733
CREMA,0.447,0.586,0.0,0.24,746.969,13439.667,0.067,0.347,0.587
SPAED,0.342,0.341,0.0,0.738,664.908,14040.6,0.12,0.267,0.613
MIRED,0.522,0.329,0.0,0.18,40.296,14081.4,0.04,0.293,0.667
IDEES,0.266,0.425,1.0,0.169,27.673,13557.933,0.013,0.293,0.693
CUFFS,0.748,0.531,1.0,0.974,30.918,13525.867,0.04,0.133,0.827
BANED,0.491,0.276,0.0,0.108,46.897,14054.267,0.067,0.28,0.653
STYRE,0.392,0.601,0.0,0.39,440.959,14050.733,0.16,0.253,0.587
POIRE,0.439,0.37,0.0,0.458,529.405,14266.333,0.2,0.16,0.64
LACKY,0.67,0.541,0.0,0.805,42.432,13427.2,0.04,0.2,0.76
AKITA,0.442,0.594,1.0,0.548,95.662,13973.2,0.107,0.213,0.68
CLIME,0.57,0.54,0.0,0.392,127.348,14430.267,0.2,0.107,0.693
CURST,0.549,0.501,0.0,0.293,1512.427,14106.533,0.147,0.213,0.64
WADES,0.386,0.28,0.0,0.2,49.757,13449.4,0.067,0.293,0.64
SAVVY,0.631,0.475,1.0,0.996,33.174,13067.467,0.08,0.147,0.773
MUSKS,0.521,0.449,1.0,0.883,12.69,13058.2,0.013,0.107,0.88
STELL,0.377,0.542,1.0,0.049,380.131,13654.933,0.053,0.293,0.653
SATIS,0.249,0.21,1.0,0.036,204.977,13959.0,0.093,0.307,0.6
WUSSY,0.543,0.64,1.0,0.943,57.776,13204.4,0.053,0.067,0.88
ZINGS,0.662,0.465,0.0,0.662,38.617,13774.933,0.013,0.227,0.76
ERNES,0.23,0.322,1.0,0.069,126.827,13793.133,0.053,0.293,0.653
CLUCK,0.816,0.666,1.0,0.806,71.237,13363.067,0.093,0.027,0.88
SUSUS,0.317,0.37,1.0,0.434,18.722,12883.8,0.053,0.053,0.893
BEACH,0.557,0.485,0.0,0.206,737.159,14042.6,0.147,0.213,0.64
SAOLA,0.225,0.329,1.0,0.757,242.861,13438.133,0.08,0.213,0.707
RIFTE,0.529,0.593,0.0,0.353,439.429,14007.867,0.16,0.253,0.587
TABUN,0.61,0.571,0.0,0.522,59.01,14329.933,0.053,0.28,0.667
CRONS,0.48,0.376,0.0,0.218,273.894,13860.667,0.107,0.213,0.68
INFER,0.537,0.686,0.0,0.19,57.552,14066.333,0.013,0.347,0.64
SYPES,0.347,0.316,1.0,0.675,55.869,13376.533,0.067,0.173,0.76
BUILD,0.724,0.498,0.0,0.737,181.913,13747.933,0.08,0.107,0.813
UNFED,0.652,0.675,0.0,0.537,40.295,14056.333,0.013,0.227,0.76
POMPS,0.585,0.363,1.0,0.659,38.673,13278.4,0.067,0.093,0.84
MOHUR,0.671,0.612,0.0,0.849,52.471,14266.733,0.027,0.187,0.787
HOSER,0.355,0.433,0.0,0.096,29.035,14138.733,0.04,0.333,0.627
AUTOS,0.368,0.421,0.0,0.464,549.728,14048.533,0.04,0.347,0.613
UNSET,0.415,0.619,0.0,0.192,178.691,14382.2,0.067,0.32,0.613
NEATH,0.453,0.504,0.0,0.008,532.403,14542.8,0.147,0.307,0.547
MACTE,0.48,0.456,0.0,0.136,1658.029,13937.4,0.16,0.267,0.573
WHIST,0.629,0.649,0.0,0.195,233.877,14426.933,0.147,0.16,0.693
ACRID,0.539,0.56,0.0,0.456,294.896,13893.2,0.053,0.333,0.613
ECADS,0.348,0.501,0.0,0.375,520.15,13567.467,0.067,0.347,0.587
MAMBA,0.548,0.538,1.0,0.605,17.409,13131.067,0.053,0.107,0.84
CHOCS,0.612,0.44,1.0,0.66,42.524,14124.267,0.053,0.16,0.787
SMUSH,0.513,0.608,1.0,0.738,195.351,13727.4,0.12,0.04,0.84
CYTES,0.474,0.354,0.0,0.502,169.421,13988.6,0.053,0.32,0.627
THANX,0.692,0.575,0.0,0.556,145.062,14448.6,0.12,0.213,0.667
RINGS,0.52,0.384,0.0,0.176,105.194,14178.267,0.04,0.293,0.667
VINOS,0.539,0.419,0.0,0.189,50.18,13822.2,0.013,0.24,0.747
WOFUL,0.771,0.674,0.0,0.682,27.468,13595.2,0.027,0.093,0.88
AWASH,0.422,0.616,1.0,0.657,154.204,14061.667,0.16,0.093,0.747
BAYER,0.46,0.41,0.0,0.508,50.564,13593.533,0.067,0.307,0.627
BOODY,0.666,0.424,1.0,0.824,20.525,13490.4,0.04,0.053,0.907
ALANS,0.283,0.368,1.0,0.057,83.226,14103.933,0.16,0.147,0.693
BIRZZ,0.849,0.55,1.0,0.994,36.75,13840.733,0.04,0.147,0.813
CAMPY,0.693,0.492,0.0,0.76,93.033,13453.467,0.093,0.147,0.76
RETCH,0.575,0.603,0.0,0.252,2216.801,14323.067,0.093,0.32,0.587
MOTUS,0.526,0.36,0.0,0.424,32.744,14145.867,0.027,0.24,0.733
TAISH,0.427,0.457,0.0,0.269,383.693,14572.4,0.173,0.267,0.56
SCOTS,0.385,0.34,1.0,0.292,216.234,13828.533,0.067,0.213,0.72
PANIM,0.585,0.408,0.0,0.268,555.861,13966.0,0.067,0.24,0.693
ETHYL,0.602,0.885,0.0,0.704,406.311,14144.267,0.013,0.307,0.68
KNURS,0.573,0.546,0.0,0.776,62.949,13965.533,0.027,0.227,0.747
COOTS,0.455,0.259,1.0,0.287,98.1,13777.4,0.08,0.2,0.72
DACKS,0.54,0.399,0.0,0.659,40.411,13382.533,0.053,0.24,0.707
MUNGE,0.642,0.502,0.0,0.475,44.66,14313.6,0.107,0.133,0.76
UNGAG,0.671,0.771,1.0,0.427,218.662,13989.933,0.027,0.213,0.76
ELAND,0.426,0.592,0.0,0.045,499.306,14206.6,0.133,0.24,0.627
EQUIP,0.668,0.759,0.0,0.934,65.256,14005.467,0.027,0.227,0.747
ELITE,0.352,0.57,1.0,0.051,200.181,14218.733,0.2,0.147,0.653
UNLAY,0.589,0.629,0.0,0.61,37.977,13813.733,0.013,0.253,0.733
NONYL,0.635,0.566,1.0,0.663,40.797,13654.2,0.04,0.107,0.853
ROUKY,0.68,0.499,0.0,0.903,52.464,13931.467,0.067,0.107,0.827
VARVE,0.549,0.475,1.0,0.497,128.402,13157.467,0.147,0.2,0.653
MILTS,0.526,0.343,0.0,0.508,106.216,14242.067,0.053,0.267,0.68
SOARE,0.183,0.276,0.0,0.186,470.661,13701.8,0.24,0.227,0.533
GECKO,0.629,0.643,0.0,0.723,64.463,13833.067,0.027,0.213,0.76
FILLY,0.727,0.523,1.0,0.415,36.578,13805.867,0.04,0.107,0.853
JILLS,0.593,0.444,1.0,0.857,27.096,13510.733,0.027,0.173,0.8
SAKTI,0.436,0.452,0.0,0.729,265.257,13947.933,0.107,0.293,0.6
SCROB,0.534,0.519,0.0,0.654,137.223,13780.067,0.053,0.227,0.72
TROPE,0.461,0.539,0.0,0.339,249.916,14268.333,0.16,0.227,0.613
SERAL,0.231,0.335,0.0,0.016,300.779,13356.867,0.067,0.4,0.533
ATOCS,0.391,0.479,0.0,0.438,376.434,14037.067,0.067,0.347,0.587
SARVO,0.406,0.366,0.0,0.678,76.972,13621.067,0.107,0.24,0.653
NONIC,0.62,0.511,1.0,0.12,94.692,14141.467,0.053,0.173,0.773
MASSE,0.189,0.47,1.0,0.13,209.019,13658.533,0.173,0.173,0.653
PICRA,0.549,0.572,0.0,0.501,129.968,14203.467,0.04,0.347,0.613
DHABA,0.551,0.604,1.0,0.76,69.274,14134.667,0.08,0.133,0.787
SENSI,0.246,0.435,1.0,0.073,526.546,14182.2,0.093,0.24,0.667
FIBER,0.591,0.513,0.0,0.406,46.507,13884.733,0.04,0.28,0.68
DARNS,0.399,0.245,0.0,0.34,139.652,13917.533,0.107,0.28,0.613
BOUGE,0.603,0.471,0.0,0.572,95.812,13968.6,0.147,0.08,0.773
RAYLS,0.4,0.4,0.0,0.743,81.482,13563.067,0.067,0.293,0.64
TINTS,0.492,0.33,1.0,0.012,55.278,14203.933,0.053,0.267,0.68
PHUTS,0.634,0.427,0.0,0.781,106.998,14153.467,0.053,0.227,0.72
CHOIL,0.659,0.569,0.0,0.492,60.29,14494.133,0.04,0.213,0.747
VIVRE,0.641,0.662,1.0,0.847,101.94,13764.333,0.12,0.173,0.707
OSONE,0.288,0.637,1.0,0.135,99.307,13820.867,0.133,0.16,0.707
KEMPS,0.533,0.489,0.0,0.742,35.991,13337.8,0.04,0.2,0.76
HOLDS,0.544,0.371,0.0,0.552,46.208,13932.533,0.04,0.187,0.773
BENDS,0.484,0.335,0.0,0.181,30.739,13782.8,0.027,0.267,0.707
DATIL,0.521,0.497,0.0,0.095,147.168,14149.067,0.067,0.32,0.613
HOTEN,0.517,0.421,0.0,0.067,68.847,14415.467,0.04,0.32,0.64
SLUMS,0.453,0.397,1.0,0.891,94.85,13263.2,0.08,0.08,0.84
AMRIT,0.501,0.564,0.0,0.655,239.221,14360.867,0.107,0.32,0.573
GOUGE,0.602,0.509,1.0,0.607,35.417,13957.867,0.133,0.08,0.787
PIKIS,0.57,0.414,1.0,0.81,26.091,13699.0,0.04,0.147,0.813
EENSY,0.307,0.542,1.0,0.431,83.947,13883.133,0.053,0.213,0.733
CLANS,0.447,0.356,0.0,0.228,204.303,14017.2,0.16,0.2,0.64
DOUGH,0.756,0.564,0.0,0.657,181.531,13962.733,0.08,0.08,0.84
SCADS,0.353,0.341,1.0,0.502,87.33,13478.533,0.107,0.187,0.707
BLAME,0.491,0.507,0.0,0.344,151.402,13692.133,0.2,0.12,0.68
GHYLL,0.787,0.743,1.0,0.903,46.998,13801.733,0.0,0.12,0.88
BLISS,0.423,0.405,1.0,0.257,251.411,13669.533,0.133,0.08,0.787
TUMPS,0.619,0.471,0.0,0.828,64.981,14043.267,0.053,0.2,0.747
BUDES,0.503,0.31,0.0,0.427,59.19,13232.4,0.053,0.213,0.733
SENZA,0.382,0.446,0.0,0.904,81.922,13783.333,0.053,0.333,0.613
GYRES,0.453,0.298,0.0,0.631,37.894,13984.867,0.04,0.293,0.667
VERTE,0.441,0.468,1.0,0.031,392.505,13692.133,0.147,0.173,0.68
FLUFF,0.9,0.73,1.0,0.966,46.437,13271.2,0.053,0.027,0.92
DHAKS,0.548,0.422,0.0,0.885,36.496,14145.533,0.08,0.2,0.72
HUZZY,0.971,0.728,1.0,1.0,36.13,13463.867,0.013,0.067,0.92
OMBER,0.524,0.652,0.0,0.277,23.808,13805.4,0.013,0.267,0.72
PIONY,0.649,0.443,0.0,0.433,456.388,13882.133,0.067,0.147,0.787
LEAMS,0.308,0.351,0.0,0.352,142.048,13627.267,0.08,0.307,0.613
AMOVE,0.478,0.624,0.0,0.473,66.744,13917.267,0.12,0.187,0.693
UNBAR,0.576,0.751,0.0,0.641,47.782,13944.333,0.0,0.32,0.68
PORUS,0.492,0.248,0.0,0.357,38.367,13966.067,0.053,0.213,0.733
OOAAS,0.177,0.274,1.0,0.821,29.501,13425.867,0.093,0.16,0.747
JANTY,0.678,0.458,0.0,0.371,51.053,14049.467,0.067,0.24,0.693
LEEAR,0.226,0.503,1.0,0.08,67.512,13278.667,0.013,0.373,0.613
TRULL,0.616,0.615,1.0,0.561,129.097,13958.333,0.067,0.2,0.733
DROIL,0.552,0.566,0.0,0.65,177.346,14138.267,0.067,0.213,0.72
NITTA,0.499,0.595,1.0,0.243,71.468,14353.267,0.053,0.32,0.627
SAVEY,0.408,0.289,0.0,0.55,84.066,13387.733,0.093,0.253,0.653
QAIDS,0.522,0.373,0.0,0.962,68.186,13654.733,0.093,0.227,0.68
CAPHS,0.542,0.399,0.0,0.834,64.152,14094.133,0.08,0.253,0.667
BRAWN,0.636,0.564,0.0,0.865,194.708,13938.0,0.12,0.173,0.707
WOKKA,0.681,0.634,1.0,0.988,12.67,12998.267,0.027,0.147,0.827
MUMPH,0.841,0.643,1.0,0.858,249.173,13670.667,0.067,0.04,0.893
RATAS,0.244,0.293,1.0,0.065,180.777,13611.467,0.067,0.347,0.587
HEXER,0.514,0.542,1.0,0.463,24.515,13795.667,0.027,0.227,0.747
LUCID,0.711,0.632,0.0,0.757,145.12,14026.4,0.027,0.2,0.773
OOBIT,0.567,0.602,1.0,0.631,302.739,14123.667,0.093,0.147,0.76
PLEAT,0.428,0.52,0.0,0.108,438.926,14206.667,0.093,0.333,0.573
HOLKS,0.577,0.369,0.0,0.857,39.776,13769.133,0.04,0.16,0.8
YOUKS,0.592,0.441,0.0,0.843,19.543,13433.8,0.04,0.12,0.84
DASHI,0.46,0.583,0.0,0.313,109.661,14172.6,0.067,0.293,0.64
LEAPS,0.307,0.35,0.0,0.489,147.436,13874.933,0.093,0.307,0.6
